,withoutThreshold,withThreshold,thresholdValue
0,4116,2646,100
1,4625,10393,100
2,5290,975,100
3,2896,7460,100
4,23494,39562,100
5,8362,4811,100
6,2616,24015,100
7,12506,10831,100
8,25,11663,100
9,50828,731,100
10,650,8178,100
11,2694,12801,100
12,294,35305,100
13,111,901,100
14,2619,3,100
15,3307,33018,100
16,112,3225,100
17,5537,12099,100
18,5637,2917,100
19,11303,1067,100
20,33,68442,100
21,67624,12,100
22,117122,6659,100
23,5185,93027,100
24,18749,2821,100
25,33266,29818,100
26,15,7005,100
27,726,662,100
28,1277,11397,100
29,4658,11270,100
30,5366,18022,100
31,35897,14092,100
32,59559,10539,100
33,26563,2317,100
34,142,5681,100
35,10409,7345,100
36,13732,3028,100
37,33234,10587,100
38,2517,5103,100
39,26445,56818,100
40,99594,1604,100
41,27809,6266,100
42,43612,15994,100
43,3644,4556,100
44,6320,28232,100
45,912,1170,100
46,2817,55556,100
47,63298,858,100
48,3309,64,100
49,3140,29029,100
50,42317,8964,110
51,8169,21077,110
52,67629,12394,110
53,716,55757,110
54,91041,44125,110
55,186,3968,110
56,105905,34869,110
57,7175,6057,110
58,5728,119169,110
59,3531,1539,110
60,405,150,110
61,2114,23230,110
62,77,6707,110
63,5609,2689,110
64,1409,57726,110
65,19869,14907,110
66,94580,11217,110
67,38085,41228,110
68,11955,5601,110
69,22145,36217,110
70,4012,109,110
71,12480,4525,110
72,716,10981,110
73,85840,1654,110
74,1630,46580,110
75,65619,6512,110
76,39663,78792,110
77,782,22271,110
78,3343,61979,110
79,112,25493,110
80,41652,2823,110
81,73178,22245,110
82,7271,48227,110
83,6123,1626,110
84,401,47831,110
85,460,29224,110
86,3113,1339,110
87,1659,1503,110
88,11253,84714,110
89,2960,3389,110
90,2851,19736,110
91,3331,10581,110
92,438,213,110
93,23,18590,110
94,183,23065,110
95,6183,8514,110
96,24466,6895,110
97,794,435,110
98,36342,725,110
99,33417,70,110
100,2250,28539,120
101,1411,49599,120
102,11610,24346,120
103,30513,1077,120
104,484,16540,120
105,519,48115,120
106,5452,139028,120
107,202,3918,120
108,1140,1396,120
109,6374,5331,120
110,101246,10184,120
111,4598,307,120
112,14851,11811,120
113,53,2185,120
114,137148,706,120
115,28720,3533,120
116,125583,132665,120
117,572,4037,120
118,8455,5957,120
119,8471,12178,120
120,18182,3612,120
121,14489,24905,120
122,56150,18600,120
123,99994,8428,120
124,666,596,120
125,125,55463,120
126,971,31104,120
127,2543,981,120
128,2091,220,120
129,35716,7814,120
130,453,11099,120
131,81,18912,120
132,29599,322,120
133,23441,726,120
134,82673,21742,120
135,202,131654,120
136,7888,111104,120
137,348,5363,120
138,28009,3740,120
139,2792,70109,120
140,800,173,120
141,156855,2687,120
142,6436,61381,120
143,114,1655,120
144,21737,10617,120
145,15205,3030,120
146,7315,10500,120
147,11809,37583,120
148,38200,9713,120
149,121209,6423,120
150,62139,64521,130
151,9085,1582,130
152,19489,30405,130
153,30604,4783,130
154,7339,16643,130
155,39190,66819,130
156,69993,76185,130
157,8885,61102,130
158,18378,689,130
159,9416,92630,130
160,1836,71713,130
161,418,17196,130
162,47965,32633,130
163,21552,135632,130
164,3098,49240,130
165,1255,43847,130
166,38228,17148,130
167,16033,25111,130
168,16473,42206,130
169,669,57585,130
170,854,13465,130
171,43566,67283,130
172,7136,26373,130
173,175,39387,130
174,8122,17223,130
175,6377,64731,130
176,100,83528,130
177,224,55594,130
178,30498,14377,130
179,688,22700,130
180,132208,1693,130
181,3421,29063,130
182,1205,20668,130
183,13061,28360,130
184,36576,14462,130
185,6679,15000,130
186,322,50473,130
187,1900,7632,130
188,44591,80925,130
189,8,54366,130
190,195,861,130
191,643,23786,130
192,732,4927,130
193,2075,14169,130
194,107,36429,130
195,1279,10544,130
196,113060,6506,130
197,4321,7747,130
198,7652,58242,130
199,25042,115097,130
200,2112,127813,140
201,184821,15248,140
202,219,25810,140
203,11308,5523,140
204,70600,67,140
205,139377,6791,140
206,49974,7715,140
207,8334,5970,140
208,31672,103641,140
209,6281,149790,140
210,1091,28023,140
211,58645,43101,140
212,4622,1274,140
213,21902,6566,140
214,726,53,140
215,81,3598,140
216,2639,2040,140
217,512,329,140
218,2032,24253,140
219,21295,43072,140
220,28277,40046,140
221,16898,5990,140
222,7290,553,140
223,7188,28128,140
224,1987,6123,140
225,3459,4817,140
226,427,58931,140
227,72611,4300,140
228,15035,3511,140
229,63951,62093,140
230,818,31519,140
231,55894,178062,140
232,4383,127114,140
233,31012,41454,140
234,9880,11587,140
235,94824,96484,140
236,1021,41837,140
237,3558,63081,140
238,32386,28562,140
239,71162,27672,140
240,27754,2025,140
241,4876,2103,140
242,307,42434,140
243,189,3691,140
244,349,2603,140
245,43783,8189,140
246,2734,36099,140
247,96266,13158,140
248,28676,7586,140
249,17637,53306,140
