,withoutThreshold,withThreshold,thresholdValue
0,79294,106042,150
1,6126,38075,150
2,9129,173646,150
3,3863,121862,150
4,99330,99027,150
5,893,7065,150
6,115411,79863,150
7,3335,26999,150
8,11400,32384,150
9,509,87341,150
10,46653,31436,150
11,1524,26128,150
12,21544,149040,150
13,1512,14670,150
14,356,1586,150
15,5143,14639,150
16,87,30281,150
17,8214,14215,150
18,6660,17971,150
19,66771,204,150
20,4918,30349,150
21,8116,130973,150
22,13969,151289,150
23,7777,12088,150
24,17466,128685,150
25,15699,181755,150
26,105,9143,150
27,1301,57059,150
28,6728,10315,150
29,643,119219,150
30,6860,189068,150
31,2411,35424,150
32,52051,83850,150
33,4181,32031,150
34,324,6481,150
35,120554,33047,150
36,4272,17503,150
37,13370,127518,150
38,568,40851,150
39,1461,7605,150
40,21125,91858,150
41,29,144681,150
42,21343,41322,150
43,2361,38789,150
44,345,7856,150
45,3098,78503,150
46,635,59049,150
47,167708,98079,150
48,1429,33264,150
49,328,131567,150
50,25996,37564,175
51,133166,45743,175
52,19627,13685,175
53,37650,42464,175
54,121132,2550,175
55,5253,95362,175
56,26420,5760,175
57,25401,115087,175
58,302,42268,175
59,1324,45024,175
60,2036,12984,175
61,1645,11441,175
62,39359,62220,175
63,6764,30352,175
64,7197,17568,175
65,89,45992,175
66,184,73997,175
67,1097,2957,175
68,26633,62701,175
69,58,53650,175
70,24341,49612,175
71,19344,92633,175
72,573,41373,175
73,3332,57154,175
74,2552,84123,175
75,71045,43522,175
76,13959,4833,175
77,33799,63772,175
78,30464,94175,175
79,107541,65430,175
80,983,8215,175
81,5606,22128,175
82,54546,34971,175
83,330,26578,175
84,16078,67071,175
85,484,54468,175
86,1496,120618,175
87,13257,62045,175
88,27,84685,175
89,138,7765,175
90,19830,122264,175
91,327,50823,175
92,28546,63167,175
93,1519,10930,175
94,50,60100,175
95,11497,6300,175
96,14373,9176,175
97,439,89817,175
98,230,76654,175
99,119833,77521,175
100,5647,55560,200
101,3985,153115,200
102,19980,176844,200
103,4577,196837,200
104,35912,118605,200
105,37,47296,200
106,1097,29203,200
107,8456,6494,200
108,656,89440,200
109,138,47296,200
110,76651,123661,200
111,1253,4829,200
112,30292,6003,200
113,977,118605,200
114,7047,42919,200
115,5900,25735,200
116,15,118605,200
117,92,12422,200
118,6168,43530,200
119,2381,19575,200
120,3411,47448,200
121,38219,831,200
122,62140,37172,200
123,13956,104183,200
124,40512,45884,200
125,956,39709,200
126,71374,47296,200
127,679,186490,200
128,24587,121549,200
129,27780,170423,200
130,711,12976,200
131,3160,118605,200
132,47156,138913,200
133,75,42270,200
134,20979,139184,200
135,14764,19475,200
136,18620,42270,200
137,3259,42270,200
138,137868,110160,200
139,26744,47296,200
140,3527,1605,200
141,650,39385,200
142,97026,30229,200
143,18580,135300,200
144,20241,2053,200
145,9084,40437,200
146,6509,100888,200
147,49,6390,200
148,243,47296,200
149,1420,10696,200
150,10043,89322,225
151,7465,11239,225
152,1765,69527,225
153,1426,48876,225
154,254,21377,225
155,21703,22139,225
